id,carat,cut,color,clarity,depth,table,x,y,z,price
452,1.51,Premium,G,SI1,59.7,59.0,7.53,7.43,4.44,11209
90685,1.06,Very Good,H,VS2,63.1,59.0,6.47,6.41,4.07,5387
84016,1.02,Premium,F,VS2,60.7,58.0,6.56,6.59,3.99,5784
74987,1.3,Ideal,G,VS2,61.2,57.0,7.06,7.02,4.31,8719
41806,1.03,Ideal,D,SI2,61.6,57.0,6.46,6.49,3.99,4583
84369,0.33,Premium,H,IF,61.5,61.0,4.42,4.38,2.71,1114
69257,0.37,Premium,G,VVS2,60.3,58.0,4.66,4.69,2.81,976
89716,1.01,Premium,F,VS1,62.5,60.0,6.4,6.37,4.0,8096
8746,1.51,Premium,I,SI1,62.6,58.0,7.31,7.22,4.55,7999
68818,0.75,Ideal,H,VVS1,62.2,56.0,5.8,5.82,3.62,3335
99499,0.33,Premium,G,VVS1,61.1,58.0,4.48,4.51,2.75,854
30343,1.09,Premium,F,VS1,61.0,58.0,6.61,6.66,4.05,7487
38214,0.31,Ideal,H,SI1,62.4,55.0,4.32,4.34,2.7,572
19619,0.55,Very Good,F,SI2,62.5,58.0,5.23,5.25,3.27,784
85429,0.7,Ideal,E,VS2,60.5,56.0,5.8,5.77,3.5,2735
48705,1.67,Ideal,F,VS2,61.9,55.0,7.59,7.66,4.72,15939
57794,1.2,Very Good,D,VS2,62.4,58.0,6.72,6.68,4.18,8449
81313,1.27,Ideal,F,SI2,60.9,57.0,6.95,6.99,4.25,6048
23614,0.41,Premium,F,VVS1,61.9,58.0,4.74,4.77,2.94,1055
61195,0.9,Very Good,F,VS1,63.1,58.0,6.15,6.11,3.86,4480
52489,0.53,Premium,G,VS2,60.7,58.0,5.21,5.27,3.18,1607
20961,0.27,Ideal,H,VVS1,61.6,56.0,4.15,4.17,2.56,504
11035,0.32,Ideal,E,IF,61.4,55.0,4.46,4.49,2.75,1018
29953,0.4,Ideal,G,IF,60.7,56.0,4.78,4.81,2.91,1240
67210,0.77,Good,F,SI2,64.1,57.0,5.8,5.86,3.73,2229
56275,0.31,Ideal,D,VS2,62.6,57.0,4.34,4.31,2.7,942
12345,1.5,Good,D,VS2,63.9,57.0,7.21,7.24,4.62,14792
68518,0.74,Very Good,I,VS2,63.1,57.0,5.75,5.7,3.62,2346
87772,0.7,Very Good,G,VS2,62.7,58.0,5.63,5.66,3.54,2517
85412,0.55,Premium,D,VS2,60.6,58.0,5.34,5.3,3.23,1935
51784,1.55,Good,E,SI1,61.0,61.0,7.41,7.45,4.54,11294
16954,1.01,Ideal,H,SI1,62.6,56.0,6.43,6.46,4.03,5387
22646,0.6,Ideal,E,VS2,61.9,55.0,5.39,5.44,3.35,2026
78868,1.11,Ideal,G,VS2,61.6,57.0,6.65,6.69,4.11,6734
9289,1.4,Premium,E,SI2,62.4,57.0,7.17,7.12,4.45,6147
75030,0.71,Ideal,F,SI1,62.1,58.0,5.74,5.69,3.55,2393
36004,0.7,Ideal,E,SI1,62.8,56.0,5.64,5.67,3.55,2676
98199,0.3,Ideal,G,VVS1,61.7,56.0,4.34,4.3,2.67,1013
15608,0.24,Good,E,VS2,63.1,55.0,3.96,3.99,2.47,399
15799,0.31,Ideal,F,VVS1,61.1,56.0,4.39,4.43,2.69,788
80877,0.91,Good,D,SI2,63.9,57.0,6.02,6.09,3.88,3115
79695,1.01,Ideal,H,SI1,61.7,57.0,6.5,6.44,3.99,5032
24202,0.53,Ideal,F,VS1,61.4,57.0,5.23,5.2,3.2,1908
9053,0.42,Ideal,F,SI1,60.1,56.0,4.9,4.85,2.93,850
68499,0.57,Ideal,F,VS2,61.6,54.0,5.37,5.39,3.31,1872
85780,0.41,Premium,D,VVS2,62.2,59.0,4.76,4.79,2.97,1105
33297,1.02,Ideal,G,VS1,61.3,57.0,6.48,6.54,3.99,7597
65201,0.9,Very Good,F,SI2,61.7,60.0,6.12,6.14,3.78,3080
50761,0.56,Ideal,H,VS2,62.1,55.0,5.29,5.33,3.3,1659
22904,0.36,Ideal,D,SI1,62.2,56.0,4.52,4.56,2.83,663
41714,0.29,Very Good,G,VVS2,61.4,58.0,4.24,4.28,2.62,607
62012,1.37,Premium,H,VS2,61.7,61.0,7.1,7.14,4.38,7603
79849,0.51,Ideal,E,VS2,61.6,55.0,5.13,5.16,3.17,1667
84351,0.41,Very Good,E,SI1,60.2,62.0,4.78,4.82,2.89,722
85906,0.33,Ideal,H,VS1,62.1,54.0,4.47,4.5,2.78,828
19368,1.01,Very Good,G,VS1,62.9,58.0,6.42,6.37,4.02,6990
43486,0.57,Ideal,G,VS1,62.3,57.0,5.31,5.33,3.31,1770
63249,0.57,Very Good,I,VS2,62.8,57.0,5.29,5.31,3.32,1220
63938,1.51,Very Good,E,SI2,63.2,59.0,7.27,7.25,4.58,10428
42259,0.3,Premium,G,VS1,62.4,58.0,4.32,4.28,2.68,776
98771,0.36,Ideal,D,VS2,61.9,56.0,4.52,4.55,2.81,852
86696,0.91,Very Good,G,VS2,63.0,54.0,6.22,6.17,3.9,4017
29705,0.42,Premium,D,SI1,61.7,59.0,4.81,4.78,2.96,1040
97170,0.91,Ideal,J,VS2,61.6,54.0,6.25,6.28,3.87,3189
76417,0.94,Ideal,G,SI1,60.0,54.0,6.45,6.51,3.88,4860
63890,0.32,Ideal,F,VVS1,61.5,56.0,4.42,4.44,2.72,857
35910,0.5,Ideal,D,SI1,61.7,53.0,5.14,5.12,3.17,1436
31270,0.4,Ideal,D,VVS2,61.7,58.0,4.76,4.79,2.94,1088
5011,0.51,Very Good,G,VS2,62.8,55.0,5.14,5.17,3.23,1337
50962,1.22,Ideal,E,VVS2,60.9,57.0,6.9,6.93,4.21,11487
50239,0.32,Premium,H,SI1,62.3,58.0,4.33,4.36,2.71,449
82105,0.9,Very Good,D,SI1,60.3,58.0,6.23,6.28,3.78,4301
5924,0.71,Ideal,F,SI1,61.2,56.0,5.76,5.8,3.54,2691
77708,1.01,Premium,E,SI1,60.7,58.0,6.56,6.53,3.96,5880
28904,0.32,Ideal,G,VVS1,60.4,57.0,4.48,4.45,2.7,877
53313,1.02,Premium,G,SI2,60.2,60.0,6.53,6.56,3.93,4422
54403,0.33,Ideal,E,SI1,61.2,55.0,4.49,4.45,2.74,714
65837,1.01,Premium,H,SI1,61.4,58.0,6.47,6.42,3.96,4466
12692,0.75,Premium,I,SI1,59.5,60.0,5.98,5.94,3.54,2048
63245,1.53,Premium,H,SI1,62.4,59.0,7.36,7.31,4.57,10463
74970,0.39,Premium,F,VS1,62.2,58.0,4.64,4.67,2.89,1113
24341,0.42,Ideal,F,SI1,62.5,56.0,4.84,4.86,3.03,945
40147,0.31,Ideal,E,VS2,62.3,57.0,4.33,4.37,2.71,680
70708,0.72,Ideal,E,VVS2,62.4,56.0,5.74,5.77,3.6,3975
77558,0.57,Ideal,E,VS2,62.1,55.0,5.35,5.35,3.32,1754
99264,0.7,Very Good,E,SI1,61.6,60.0,5.71,5.76,3.54,2777
74281,0.42,Ideal,G,VS2,61.8,56.0,4.8,4.83,2.98,1087
23050,0.32,Very Good,D,SI2,63.0,56.0,4.38,4.34,2.75,477
90618,0.4,Ideal,E,VVS2,61.1,57.0,4.77,4.74,2.91,1104
60549,1.03,Premium,J,SI1,58.5,61.0,6.66,6.57,3.88,3892
97588,1.05,Ideal,F,VVS2,61.6,56.0,6.5,6.53,4.01,8820
7877,1.01,Premium,F,VS1,62.4,58.0,6.43,6.38,4.0,6199
14081,0.31,Very Good,E,SI1,61.9,59.0,4.37,4.39,2.71,544
49425,0.37,Premium,E,VS2,59.4,61.0,4.66,4.72,2.79,833
49685,0.56,Premium,G,SI1,63.0,56.0,5.23,5.2,3.28,1235
83372,0.31,Very Good,F,VVS1,60.6,57.0,4.31,4.33,2.63,812
57322,1.28,Ideal,G,SI1,61.1,57.0,7.04,7.0,4.28,7443
31209,1.06,Ideal,G,VS1,62.4,55.0,6.52,6.49,4.06,7664
25578,1.04,Ideal,G,SI1,62.0,56.0,6.46,6.48,4.01,5140
82568,0.57,Ideal,D,VVS2,62.1,57.0,5.3,5.33,3.3,2507
40570,0.59,Ideal,H,VS2,61.9,54.1,5.34,5.38,3.32,1579
56988,0.51,Ideal,G,VS2,62.2,57.0,5.08,5.12,3.17,1607
90732,0.27,Ideal,G,VVS2,61.6,57.0,4.18,4.21,2.58,627
67683,0.33,Ideal,E,VS1,62.6,57.0,4.4,4.43,2.76,781
71750,0.33,Premium,D,SI2,62.7,59.0,4.39,4.37,2.75,492
34480,0.9,Very Good,F,SI1,60.7,58.0,6.22,6.28,3.79,4468
97522,0.53,Premium,D,SI1,62.8,56.0,5.17,5.12,3.23,1633
84595,0.41,Premium,D,SI1,60.6,59.0,4.84,4.8,2.92,1015
38357,0.41,Ideal,F,VS2,60.9,55.0,4.82,4.79,2.92,1087
56261,1.01,Premium,F,VS2,60.8,59.0,6.49,6.45,3.94,6623
84450,1.23,Ideal,G,VS2,62.5,56.0,6.9,6.84,4.28,8647
7742,0.3,Ideal,H,VS1,62.0,55.0,4.25,4.3,2.65,526
212,0.52,Ideal,H,VVS1,62.2,55.0,5.15,5.17,3.21,1721
55802,0.9,Very Good,F,SI1,63.2,61.0,6.05,6.02,3.82,2858
49694,1.32,Premium,H,VS1,62.3,58.0,7.0,6.92,4.34,8938
46256,1.03,Ideal,H,SI1,59.6,57.0,6.62,6.56,3.93,5464
60456,0.9,Very Good,I,SI1,62.1,58.0,6.1,6.15,3.78,3326
40258,0.75,Ideal,F,VS1,62.4,54.0,5.8,5.77,3.61,3183
6617,0.42,Premium,E,SI1,62.0,59.0,4.85,4.83,3.0,992
12495,1.52,Premium,G,VS1,60.5,58.0,7.52,7.45,4.52,14482
18986,2.01,Premium,I,VS2,59.6,58.0,8.25,8.18,4.88,17408
77310,0.72,Very Good,D,SI1,60.5,60.0,5.75,5.78,3.49,2762
69729,0.34,Ideal,F,VVS2,61.9,55.0,4.49,4.52,2.79,860
46631,0.32,Ideal,D,VS2,62.3,54.0,4.4,4.37,2.73,758
90287,2.0,Ideal,J,VS2,60.5,57.0,8.04,8.08,4.89,13595
93183,1.03,Ideal,G,VVS2,61.5,55.0,6.51,6.56,4.02,8454
74973,1.6,Ideal,H,VS2,62.2,58.0,7.48,7.54,4.67,10821
95077,1.1,Premium,H,SI1,62.2,58.0,6.59,6.54,4.08,5104
84264,1.52,Ideal,J,SI1,61.9,57.0,7.31,7.38,4.55,7072
96873,0.81,Ideal,G,VS1,62.3,57.0,5.95,5.98,3.72,3782
50163,0.31,Premium,H,VVS2,59.6,62.0,4.43,4.47,2.65,749
82726,1.06,Premium,E,SI2,60.7,58.0,6.61,6.59,4.01,4563
35653,0.31,Very Good,G,VS2,62.5,59.0,4.3,4.33,2.7,544
51879,1.06,Ideal,F,VVS2,61.3,56.0,6.54,6.6,4.03,8941
88256,1.59,Premium,E,VS2,60.9,59.0,7.53,7.49,4.57,15254
93040,1.54,Premium,H,VVS2,60.2,59.0,7.41,7.49,4.49,13043
1035,2.01,Premium,E,SI1,60.5,58.0,8.07,8.17,4.9,16628
41101,0.56,Ideal,E,VS2,61.3,55.0,5.33,5.3,3.26,1770
93053,1.51,Premium,H,VVS2,62.6,58.0,7.31,7.27,4.56,10304
48779,1.24,Ideal,G,VS2,61.6,56.0,6.94,6.9,4.26,9106
25798,2.05,Ideal,I,VS2,62.2,56.0,8.18,8.12,5.06,18485
13017,2.0,Good,H,SI1,63.8,58.0,8.03,7.98,5.08,14763
9199,0.34,Ideal,I,IF,60.9,57.0,4.52,4.5,2.74,689
74457,1.07,Ideal,I,SI2,61.6,55.0,6.58,6.62,4.07,3977
7059,1.22,Premium,H,SI2,60.4,61.0,6.91,6.87,4.16,4974
57511,0.7,Ideal,F,SI1,62.8,54.0,5.64,5.69,3.55,2196
45036,0.3,Premium,E,VVS2,61.7,58.0,4.33,4.3,2.66,1013
71697,0.27,Ideal,F,IF,61.9,56.0,4.15,4.16,2.57,760
74476,0.42,Ideal,I,VVS1,61.8,55.0,4.83,4.8,2.98,931
44110,0.34,Very Good,D,SI1,63.6,55.0,4.45,4.43,2.82,803
51723,0.5,Ideal,E,VS2,61.7,56.0,5.07,5.1,3.14,1690
51325,0.5,Ideal,F,VS2,61.9,56.0,5.14,5.11,3.17,1599
76753,0.4,Ideal,G,SI1,62.2,57.0,4.7,4.72,2.93,873
38522,1.5,Premium,G,VS1,59.8,58.0,7.46,7.39,4.43,13667
27651,0.3,Ideal,E,VS1,61.3,55.0,4.32,4.36,2.66,703
58041,1.62,Premium,G,SI2,60.7,59.0,7.61,7.58,4.62,7414
53107,1.21,Very Good,E,VS2,62.9,59.0,6.77,6.72,4.25,8770
28319,0.4,Ideal,D,VS1,61.6,54.0,4.75,4.78,2.93,1125
77559,1.02,Ideal,D,VS2,61.4,57.0,6.48,6.44,3.97,7096
93777,0.32,Ideal,H,VS1,61.8,55.0,4.43,4.41,2.73,720
39182,1.22,Good,F,SI2,63.7,56.0,6.78,6.71,4.29,5799
41332,0.77,Good,E,VS1,64.3,58.0,5.76,5.81,3.74,3808
23981,0.9,Very Good,F,SI2,63.3,59.0,6.17,6.13,3.9,3114
19574,1.09,Ideal,H,SI1,61.8,56.0,6.57,6.68,4.1,5698
10317,1.01,Premium,G,SI2,59.0,58.0,6.5,6.56,3.86,4412
76595,0.32,Ideal,E,VS2,61.4,57.0,4.36,4.33,2.67,702
12858,0.59,Ideal,I,VS2,62.2,56.0,5.36,5.39,3.34,1346
81595,0.53,Ideal,E,VS1,61.9,55.0,5.18,5.17,3.21,1754
7156,0.31,Ideal,H,IF,62.3,55.0,4.32,4.35,2.71,859
35103,2.09,Ideal,I,SI2,60.7,57.0,8.23,8.27,5.02,15773
60613,0.56,Ideal,G,VS2,60.9,56.0,5.32,5.4,3.25,1622
89308,0.33,Premium,D,SI2,62.4,58.0,4.4,4.38,2.74,631
53038,0.59,Premium,D,SI1,61.9,59.0,5.33,5.36,3.3,1712
3847,0.47,Very Good,E,VS1,61.8,60.0,4.96,5.01,3.09,1850
24692,0.3,Ideal,D,VS2,62.1,55.0,4.31,4.34,2.68,862
48107,0.91,Good,H,SI2,59.7,62.0,6.26,6.29,3.76,3363
971,1.06,Ideal,D,SI1,61.9,56.0,6.51,6.54,4.03,5799
45575,1.53,Premium,G,VS1,58.0,62.0,7.59,7.53,4.41,10331
45055,1.55,Ideal,F,SI1,62.2,56.0,7.38,7.46,4.61,11641
6367,0.9,Very Good,F,SI1,60.7,61.0,6.14,6.18,3.76,4084
80809,1.01,Good,G,VS2,59.8,58.0,6.54,6.58,3.93,6593
92245,0.71,Ideal,G,VVS1,60.8,57.0,5.76,5.79,3.51,3378
35520,0.71,Very Good,J,VVS1,62.5,59.0,5.63,5.7,3.54,2240
12555,1.29,Ideal,I,VVS2,62.1,57.0,7.04,6.99,4.34,8722
18278,1.21,Premium,G,VS2,61.1,60.0,6.86,6.81,4.17,8001
64733,0.79,Ideal,F,SI1,61.8,56.0,5.94,5.92,3.67,2909
99008,0.32,Premium,H,VS2,62.4,58.0,4.34,4.36,2.72,648
43041,0.7,Ideal,G,VVS2,61.9,56.0,5.7,5.72,3.53,3539
3414,1.01,Premium,D,VS2,62.0,59.0,6.43,6.41,3.99,7677
88125,0.3,Premium,F,SI1,62.9,58.0,4.28,4.25,2.68,612
6637,0.72,Ideal,D,VS1,61.8,56.0,5.77,5.79,3.57,3524
46161,0.5,Ideal,F,VS2,62.5,56.0,5.02,5.05,3.15,1437
23858,0.71,Premium,I,SI2,61.2,59.0,5.72,5.75,3.51,1902
49458,0.45,Very Good,E,VS1,60.6,60.0,4.91,4.95,2.99,1333
70583,1.21,Premium,H,SI2,61.1,59.0,6.91,6.84,4.2,5236
79802,0.7,Very Good,H,SI2,62.8,58.0,5.64,5.68,3.55,2141
45273,0.53,Ideal,E,SI1,62.0,56.0,5.21,5.19,3.22,1607
14381,1.7,Very Good,I,VS2,63.3,59.0,7.51,7.57,4.76,10171
20624,0.53,Ideal,E,VVS2,60.4,56.0,5.23,5.26,3.17,2218
42884,0.23,Very Good,E,VS1,61.8,58.0,3.92,3.94,2.43,371
44826,1.5,Premium,I,SI2,61.8,58.0,7.34,7.31,4.53,7339
32086,0.33,Ideal,G,VVS1,62.4,56.0,4.38,4.41,2.74,868
97414,0.7,Very Good,H,VS2,63.2,61.0,5.6,5.63,3.54,2360
95042,0.24,Very Good,H,VS2,61.1,58.0,4.02,4.03,2.46,378
10629,0.41,Ideal,G,VS2,62.2,57.0,4.79,4.76,2.97,1061
6159,1.01,Very Good,H,SI1,59.3,59.0,6.54,6.48,3.86,4967
42364,2.03,Premium,G,SI2,61.8,60.0,8.15,8.1,5.02,14344
71462,1.07,Ideal,I,SI2,62.0,57.0,6.52,6.57,4.04,4472
52373,0.91,Premium,H,SI1,62.3,57.0,6.23,6.15,3.85,3639
55451,1.13,Very Good,F,VVS2,61.3,59.0,6.69,6.73,4.11,9933
95387,0.31,Very Good,E,VS2,63.5,55.0,4.32,4.28,2.73,651
25027,0.51,Ideal,D,VS2,62.0,55.0,5.12,5.15,3.19,1787
36974,0.9,Premium,D,SI1,60.5,58.0,6.21,6.29,3.8,4361
93121,1.53,Very Good,H,SI1,60.7,58.0,7.48,7.54,4.55,10447
45523,2.18,Premium,J,VS2,62.0,59.0,8.43,8.37,5.18,15531
34451,0.3,Ideal,I,VVS1,60.8,58.0,4.32,4.37,2.64,552
50536,0.3,Very Good,I,SI1,61.7,57.0,4.32,4.35,2.67,432
61872,0.36,Ideal,E,VS2,61.5,56.0,4.62,4.58,2.83,1013
17838,0.73,Ideal,G,VS2,61.9,56.0,5.79,5.82,3.59,3119
73816,1.0,Premium,F,VS1,61.6,57.0,6.44,6.38,3.95,7078
42151,0.38,Premium,E,VS1,58.2,59.0,4.75,4.68,2.79,1104
34431,1.0,Good,E,VS2,60.2,61.0,6.28,6.34,3.8,6183
87308,0.31,Ideal,H,VVS1,62.6,56.0,4.32,4.35,2.72,707
22834,0.4,Ideal,D,VS2,61.3,57.0,4.79,4.76,2.92,1140
50490,0.26,Ideal,E,VS1,61.4,55.0,4.09,4.15,2.52,486
84732,1.01,Premium,E,SI2,62.2,58.0,6.39,6.42,3.99,4725
73111,1.08,Very Good,F,VS2,63.1,58.0,6.45,6.48,4.09,7467
52505,1.13,Premium,G,VS2,61.4,60.0,6.67,6.65,4.09,6563
60364,1.11,Ideal,H,SI1,61.8,55.0,6.65,6.62,4.09,6229
71759,0.33,Ideal,D,VVS2,62.3,56.0,4.41,4.43,2.76,1002
10791,1.02,Premium,G,VS2,61.9,59.0,6.4,6.45,3.99,6604
65534,0.4,Ideal,E,VS1,62.3,55.0,4.77,4.79,2.98,1125
1410,1.51,Premium,E,SI2,62.9,58.0,7.27,7.22,4.55,9411
46033,0.72,Very Good,G,SI2,61.6,56.0,5.75,5.78,3.55,2482
61818,1.01,Premium,D,I1,62.2,62.0,6.43,6.34,3.97,3293
23617,0.32,Ideal,H,VVS1,62.7,56.0,4.34,4.31,2.71,936
70473,0.36,Ideal,I,IF,61.8,53.0,4.59,4.61,2.84,695
8370,1.0,Very Good,E,SI2,61.8,59.0,6.33,6.4,3.93,4415
7554,0.32,Ideal,D,VS2,61.7,56.0,4.39,4.37,2.69,972
33842,1.06,Premium,G,VS1,61.7,60.0,6.59,6.54,4.05,7107
36514,0.4,Premium,D,VVS2,61.4,59.0,4.72,4.79,2.93,1238
42519,1.2,Premium,F,SI2,62.8,56.0,6.76,6.7,4.24,4405
17930,0.41,Ideal,G,VS2,61.3,57.0,4.83,4.8,2.95,1061
48243,0.9,Very Good,E,SI1,63.4,61.0,6.03,6.11,3.84,3388
20975,0.32,Ideal,E,VS2,62.1,54.0,4.44,4.41,2.75,768
34150,1.25,Good,F,SI2,58.3,64.0,7.11,7.04,4.1,6032
54819,1.5,Very Good,F,SI2,61.5,59.0,7.3,7.37,4.52,7272
41915,0.4,Very Good,G,VS2,63.4,57.0,4.7,4.67,2.97,1080
77871,0.53,Ideal,E,VS1,61.1,56.0,5.21,5.24,3.19,2145
47695,0.7,Ideal,F,SI1,61.1,55.0,5.73,5.78,3.51,2805
92967,0.32,Ideal,G,VVS2,62.0,55.0,4.39,4.41,2.73,936
15854,0.37,Ideal,D,VS1,61.9,55.0,4.64,4.66,2.87,1127
5892,0.32,Premium,G,VS2,62.6,58.0,4.3,4.32,2.7,561
56504,1.15,Very Good,H,SI2,62.0,57.0,6.67,6.7,4.14,4082
21408,0.72,Ideal,G,VVS2,62.0,58.0,5.71,5.75,3.55,2977
62202,0.41,Very Good,D,SI1,63.2,56.0,4.74,4.71,2.99,825
82515,0.4,Good,G,SI2,63.1,56.0,4.68,4.74,2.97,571
17179,0.9,Ideal,E,SI1,62.6,57.0,6.1,6.14,3.83,4187
61204,0.7,Premium,H,SI2,61.3,60.0,5.73,5.69,3.5,2012
71172,0.5,Very Good,D,SI1,61.9,58.0,5.06,5.1,3.13,1267
85006,1.28,Premium,F,SI1,61.5,58.0,6.99,6.94,4.29,7797
9455,0.71,Very Good,D,VS2,61.4,56.0,5.75,5.79,3.54,3025
97542,0.41,Ideal,D,VVS2,61.4,56.0,4.81,4.78,2.94,1129
80812,0.5,Ideal,D,SI2,60.6,56.0,5.15,5.18,3.12,1190
62610,0.7,Very Good,H,SI1,63.3,56.0,5.67,5.64,3.58,2178
72633,0.51,Ideal,E,SI1,62.2,56.0,5.11,5.15,3.2,1437
61207,0.4,Premium,F,VS2,62.4,58.0,4.72,4.69,2.94,1080
4070,0.9,Good,E,SI1,63.9,58.0,6.02,6.11,3.87,4259
92820,0.3,Ideal,G,VS2,62.1,57.0,4.26,4.31,2.66,544
47370,0.39,Ideal,F,VVS2,61.4,53.0,4.69,4.73,2.89,950
42729,0.4,Ideal,E,VVS1,62.2,54.0,4.71,4.74,2.94,1294
8403,0.2,Ideal,E,VS2,61.7,57.0,3.78,3.81,2.33,367
69233,0.73,Ideal,I,VS1,62.4,55.0,5.79,5.73,3.6,2393
87866,1.09,Ideal,I,SI1,61.9,55.0,6.59,6.64,4.09,5055
48794,0.71,Very Good,F,SI1,60.9,56.0,5.77,5.8,3.53,2657
39217,1.01,Good,G,VS1,63.6,56.0,6.29,6.37,4.02,6659
20267,0.73,Ideal,G,VS2,61.3,57.0,5.79,5.84,3.57,2913
27755,0.31,Ideal,G,SI1,62.6,57.0,4.32,4.28,2.69,462
12797,0.77,Very Good,D,VS2,60.3,61.0,5.9,5.96,3.57,3462
83259,0.4,Ideal,E,SI1,61.7,57.0,4.69,4.72,2.9,737
4394,1.21,Very Good,D,SI2,63.2,56.0,6.74,6.73,4.25,6373
2448,0.32,Ideal,H,SI1,62.0,57.0,4.39,4.41,2.73,540
3418,0.32,Very Good,G,VS2,62.9,54.0,4.41,4.38,2.76,586
4211,0.23,Very Good,E,VS1,61.2,59.0,3.95,3.97,2.42,428
97580,2.03,Premium,H,SI1,62.0,58.0,8.07,8.12,5.02,18371
26130,1.01,Premium,D,SI1,59.2,61.0,6.53,6.48,3.87,6335
1228,1.19,Ideal,G,VVS2,62.0,57.0,6.79,6.83,4.22,10065
36873,1.51,Ideal,E,VS2,61.7,56.0,7.36,7.4,4.55,14482
31978,1.01,Premium,H,SI1,61.5,59.0,6.45,6.48,3.97,4476
73146,1.03,Ideal,H,SI1,62.0,56.0,6.44,6.48,4.01,4959
60454,0.54,Ideal,D,VS2,62.3,57.0,5.19,5.22,3.24,1847
70761,0.42,Ideal,G,VS2,62.0,57.0,4.81,4.8,2.97,1087
31125,1.51,Ideal,J,SI1,61.9,59.0,7.27,7.31,4.52,5761
46087,0.31,Ideal,D,SI2,62.3,56.0,4.36,4.32,2.7,513
39849,0.24,Ideal,F,VVS2,62.2,57.0,3.97,4.02,2.49,472
6225,0.7,Ideal,F,VS2,61.2,57.0,5.72,5.76,3.51,2761
90668,1.1,Premium,E,SI1,62.0,59.0,6.47,6.44,4.01,5174
99833,0.32,Premium,F,SI2,60.5,59.0,4.42,4.45,2.69,421
39340,0.32,Ideal,I,VS1,62.6,57.0,4.34,4.37,2.73,649
14998,0.26,Very Good,D,VVS2,59.6,61.0,4.1,4.13,2.44,597
33255,1.21,Premium,F,VS2,62.3,58.0,6.84,6.81,4.25,8904
26024,0.4,Very Good,H,VVS1,61.8,58.0,4.74,4.78,2.94,1043
80282,0.9,Very Good,D,VS2,62.2,59.0,6.16,6.19,3.84,4521
65755,0.54,Ideal,D,SI1,60.7,56.0,5.27,5.3,3.21,1635
49644,0.51,Ideal,D,VS1,60.9,57.0,5.14,5.18,3.15,1904
31735,1.24,Ideal,G,VS2,62.0,57.0,6.91,6.86,4.28,7416
62852,1.26,Very Good,G,SI1,62.6,54.0,6.88,6.9,4.32,7103
83579,2.02,Ideal,H,SI2,62.1,56.0,8.06,8.1,5.03,15395
59517,0.31,Ideal,E,VS2,61.1,55.0,4.38,4.4,2.68,642
62589,0.31,Ideal,H,SI1,61.9,56.0,4.36,4.39,2.71,441
67754,0.27,Very Good,G,VVS2,61.7,57.0,4.14,4.16,2.57,504
57846,0.39,Ideal,I,VVS1,62.7,57.0,4.64,4.68,2.92,807
89046,0.42,Ideal,D,VVS2,61.9,55.0,4.84,4.8,2.98,1289
